"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Status"
"E2F_TARGETS",1e-50,5e-49,NA,-0.745829980877654,-4.4856534958036,195,"PRIM2; HELLS; NASP; MCM4; HMMR; BRCA1; NUP107; PSMC3IP; SMC3; PRKDC; PAICS; HMGB3; LBR; ATAD2; EZH2; UNG; DEK; CCP110; USP1; WEE1; CENPE; E2F8; RRM2; MMS22L; RPA1; RFC2; RFC1; SMC4; MCM7; RACGAP1; CHEK2; MCM6; RFC3; MCM2; LMNB1; MRE11; PLK4; LYAR; DSCC1; MCM3; AURKA; POLA2; TIMELESS; MELK; SMC1A; MYC; STMN1; NUP205; BARD1; MKI67; POLE; ORC6; DUT; MAD2L1; HNRNPD; ASF1B; DIAPH3; BUB1B; NOP56; EXOSC8; RAD21; PNN; RAD51AP1; DLGAP5; TOP2A; NCAPD2; XPO1; CBX5; LIG1; MCM5; PCNA; DEPDC1; TK1; POLD3; GINS1; KIF22; HMGB2; GINS3; BRCA2; KIF2C; TUBB; TRIP13; CDCA3; CDCA8; POLD1; CIT; MTHFD2; CHEK1; SHMT1; CKS1B; ANP32E; CDK1; MYBL2; TFRC; ESPL1; SPAG5; CENPM; SPC24; PA2G4; SPC25; CCNB2; AK2; DONSON; PLK1; CSE1L; KIF4A; AURKB; ORC2; CDK4; RNASEH2A; BIRC5; RPA3; ILF3; RANBP1; TP53; CDC20; NOLC1; TACC3; KIF18B; LUC7L3; PDS5B; MSH2; NAP1L1; SUV39H1; HMGA1; CDC25B; CDKN3; CKS2; DCLRE1B; SSRP1; TCF19","Downregulated"
"G2M_CHECKPOINT",3.51435446387417e-45,8.78588615968543e-44,1.75065026404932,-0.660521138807776,-3.93921093065911,188,"PRIM2; NASP; HMMR; DBF4; SNRPD1; FBXO5; HMGB3; KIF20B; LBR; EZH2; CENPF; CENPE; SLC7A1; EXO1; SMC2; SMC4; RACGAP1; MCM6; POLQ; MCM2; LMNB1; SMARCC1; PLK4; MCM3; AURKA; RAD54L; POLA2; SMC1A; MYC; STMN1; TPX2; CDC45; CDC6; KNL1; BARD1; MKI67; GINS2; POLE; ORC6; BUB1; MAD2L1; KIF11; E2F2; HNRNPD; AMD1; NDC80; STIL; KIF15; SLC7A5; KIF5B; CCNA2; RAD21; MAPK14; KIF23; TOP2A; XPO1; MCM5; NUSAP1; KIF22; BRCA2; KIF2C; UBE2C; NCL; TTK; PRC1; TRAIP; CHEK1; CKS1B; CHAF1A; CDK1; MYBL2; INCENP; CENPA; NEK2; ESPL1; HNRNPU; RBL1; BUB3; CCNB2; PLK1; KIF4A; AURKB; CDK4; LIG3; BIRC5; ILF3; CCNF; NUP50; MTF2; CDC20; NOLC1; TACC3; DMD; PBK; WRN; PDS5B; ODC1; ODF2; SUV39H1; MNAT1; HMGA1; CDC25B; CDKN3; CKS2","Downregulated"
"MYC_TARGETS_V1",3.86064549422815e-38,6.43440915704691e-37,1.60887959037681,-0.612615180983839,-3.65129484862684,193,"MCM4; CBX3; SNRPD1; SNRPA1; EIF3B; CLNS1A; HSP90AB1; SRPK1; CSTF2; DEK; USP1; RSL1D1; RFC4; RRM1; NCBP2; MCM7; CDK2; MCM6; HSPD1; TYMS; DDX21; MCM2; SMARCC1; GNL3; APEX1; MYC; CANX; LDHA; CDC45; SET; XPOT; DUT; MAD2L1; C1QBP; EIF4H; HNRNPD; SERBP1; NPM1; FBL; CCNA2; HNRNPA2B1; NOP56; HNRNPA1; EIF3J; XPO1; MCM5; PCNA; UBA2; HDDC2; PTGES3; SNRPA; IMPDH2; PA2G4; HNRNPU; EIF1AX; PABPC4; SNRPD3; BUB3; HNRNPA3; TOMM70; ORC2; CDK4; TARDBP; RPL22; PGK1; PHB2; RANBP1; RPS3; CDC20; SNRPD2; NOLC1; HNRNPC; RPL6; DDX18; EEF1B2; RPL14; ODC1; RPS6; RPLP0; NAP1L1; RPS5; PCBP1; COX5A; HNRNPR; EIF3D; CNBP; PABPC1; CCT5","Downregulated"
"MTORC1_SIGNALING",2.89671263243867e-12,3.62089079054834e-11,0.898671232061694,-0.400712744673245,-2.40478873884818,186,"PSAT1; DDIT4; MCM4; DHFR; TXNRD1; DDIT3; FADS1; UNG; ASNS; SSR1; RRM2; CORO1A; SHMT2; RPA1; SORD; HSPD1; MCM2; SLC7A11; AURKA; IMMT; CANX; LDHA; NUP205; SLC1A5; SLC37A4; BUB1; PHGDH; ELOVL6; SLC7A5; ADIPOR2; PRDX1; LTA4H; MTHFD2; P4HA1; ACACA; NAMPT; ENO1; TFRC; ACSL3; HK2; PPA1; GBE1; PLK1; TMEM97; UFM1; TOMM40; HMGCS1; GMPS; CCNF; PGK1; SLC6A6; PDK1; PITPNB; RPN1; HSP90B1; TCEA1; NUPR1; GPI; XBP1; PSMD12; SQLE","Downregulated"
"MITOTIC_SPINDLE",3.69845935522061e-09,3.69845935522061e-08,0.774939030136436,-0.34985070106766,-2.05848240418871,190,"LRPPRC; KNTC1; SMC3; PCM1; CEP57; FBXO5; KIF20B; CENPF; CENPE; SASS6; RFC1; SMC4; RACGAP1; NIN; MYH10; LMNB1; AURKA; DLG1; SMC1A; TPX2; CCDC88A; BUB1; KIF11; NDC80; KIF15; KIF5B; PCGF5; KIF23; DLGAP5; TOP2A; NUSAP1; EPB41; KIF22; BRCA2; KIF2C; EPB41L2; TTK; PRC1; CDK1; INCENP; NEK2; ESPL1; ANLN; CCNB2; FLNB; PLK1; KIF4A; PIF1; BIRC5; NEDD9; WASF2; GEMIN4","Downregulated"
"MYC_TARGETS_V2",3.32947959442614e-08,2.77456632868845e-07,0.719512826338911,-0.537076871552743,-2.59526964898824,56,"MCM4; CBX3; UNG; MRTO4; SORD; HSPD1; GNL3; PLK4; MYC; UTP20; LAS1L; NPM1; NOP56; MCM5; WDR43; PA2G4; HK2; PLK1; TMEM97; CDK4; NOLC1; DDX18","Downregulated"
"EPITHELIAL_MESENCHYMAL_TRANSITION",3.26803553241743e-05,0.000233431109458388,0.557332238758646,0.439861869579269,1.83661796935744,108,"DAB2; ECM1; MYL9; PLAUR; CXCL8; LGALS1; RHOB; TGFB1; ITGB5; SDC4; BMP1; TIMP1; PLOD3; LAMC1; VIM; COL1A2; P3H1; CAPG; SERPINH1; THBS1; VCAN; LRP1; PMP22; MMP14; ITGAV; FERMT2; TNFRSF12A; CD59; ITGA5; LOXL2; ITGB1; QSOX1; PVR; PDLIM4; GPC1; TPM1; AREG; FLNA; APLP1; CRLF1; FUCA1; CTHRC1; COL4A2; EMP3; SPARC","Upregulated"
"UNFOLDED_PROTEIN_RESPONSE",6.37863363404143e-05,0.000398664602127589,0.538434096309916,-0.341071411459561,-1.84727487691878,103,"PSAT1; DDIT4; CNOT6; CEBPG; ASNS; SSR1; SPCS3; VEGFA; XPOT; SLC7A5; KIF5B; CEBPB; NPM1; NOP56; EXOSC2; MTHFD2; STC2; CKS1B; SEC31A; LSM4; NFYB; CNOT2; YWHAZ; ATF3; ATF4; GEMIN4; EIF4EBP1; NOLC1; EXOSC10; HSP90B1; KHSRP; XBP1; RPS14; HSPA9; DCP1A; FUS; DKC1","Downregulated"
"MYOGENESIS",9.01831014004411e-05,0.00050101723000245,0.538434096309916,0.439966414848081,1.83478266314048,106,"GAA; GSN; TGFB1; BAG1; ITGB5; DMPK; PTP4A3; MEF2D; ITGB4; CRAT; MYO1C; KIFC3; ATP2A1; SMTN; SORBS1; ATP6AP1; OCEL1; AK1; NAV2; COL15A1; AGRN; MAPK12; MAPRE3; PDLIM7; ITGB1; TNNT1; SYNGR2; SIRT2; IGF1; CACNA1H; APP; TPD52L1; PFKM; PSEN2; CDKN1A; GABARAPL2; COL4A2; SPARC; FLII; TSC2; PDE4DIP","Upregulated"
"P53_PATHWAY",0.000112610201285757,0.000563051006428783,0.538434096309916,0.384477909444594,1.69186587533834,166,"PROCR; ACVR1B; PLK3; BAK1; TAX1BP3; RNF19B; TGFB1; CSRNP2; TRAF4; RETSAT; TSC22D1; ITGB4; PDGFA; MXD4; CTSD; EI24; TAP1; IRAK1; BLCAP; ABHD4; CTSF; POM121; S100A10; HRAS; SLC35D1; IER3; SFN; ZFP36L1; VWA5A; TRAFD1; RAB40C; PPP1R15A; PHLDA3; KIF13B; ISCU; AK1; PRMT2; SEC61A1; CEBPA; IER5; ADA; SERTAD3; CDK5R1; FOS; CCND3; TNFSF9; APP; BTG2; BAIAP2; TPD52L1; FUCA1; ABAT; WRAP73; SOCS1; IP6K2; CDKN1A; ABCC5; RALGDS; EPHX1; GM2A; TM7SF3; FDXR; BTG1; DCXR; SDC1; MKNK2; RPS27L; BAX; CDKN2B; F2R; DEF6; MXD1; INHBB; RHBDF2; PLK2; STEAP3; APAF1; TSPYL2; RRP8; IFI30; GPX2; JUN; CGRRF1; HEXIM1; HMOX1","Upregulated"
"INTERFERON_GAMMA_RESPONSE",0.000132814983338837,0.000603704469721988,0.518848077743792,0.408278545486559,1.73814682017119,129,"DHX58; IL4R; PSMB9; TAPBP; LGALS3BP; UBE2L6; C1R; LYSMD2; ST3GAL5; VAMP5; MVP; IL10RA; TAP1; LY6E; IL15RA; HLA-B; PSME2; TRAFD1; HELZ2; ISOC1; IFNAR2; IRF1; SOCS3; C1S; B2M; USP18; OAS3; IRF9; MT2A; PSMB8; LATS2; NOD1; PIM1; RNF31; SOCS1; CDKN1A; TOR1B; CFH; SERPING1; MX1; BTG1; TNFAIP2; STAT2; PTPN6; NCOA3; BPGM; RIPK1; PARP12; EIF4E3; PML; ISG15; RNF213; CASP3; CASP7; IFITM3; HLA-A; IFI30; GCH1; NMI; PARP14; CD40; PNP; XAF1","Upregulated"
"INTERFERON_ALPHA_RESPONSE",0.000272640611394592,0.00113600254747747,0.49849310876659,0.464780428209012,1.84817420580782,71,"PROCR; DHX58; UBA7; IL4R; PSMB9; LGALS3BP; UBE2L6; CSF1; HLA-C; TAP1; LY6E; GBP2; MVB12A; PSME2; TRAFD1; HELZ2; IRF1; C1S; B2M; MOV10; USP18; IRF9; PSMB8","Upregulated"
"COMPLEMENT",0.000982077636195851,0.0035074201292709,0.45505986738723,0.375453140773013,1.6164120465031,141,"BRPF3; PLAUR; PSMB9; SCG3; S100A13; DUSP5; CTSL; C1R; LGALS3; CTSD; TIMP1; SRC; PDGFB; CD55; RNF4; LRP1; MMP14; MMP15; RCE1; ADAM9; PPP2CB; ANXA5; F8; CD59; IRF1; LGMN; LAMP2; CPQ; C1S; GNB2; EHD1; CSRP1; CDK5R1; CALM1; ATOX1; KIF2A; CASP9; PIM1; ZFPM2; DGKG; GRB2; CTSS; HSPA1A; PPP4C; KLKB1; SIRT6; COL4A2; CFH; SERPING1; CTSH; GPD2; TIMP2; CASP10; PIK3CG; MAFF; CASP3; CASP7; MSRB1; DOCK9; SERPINE1; PCSK9; F3; SPOCK2; F10; LCP2; PFN1; STX4; RABIF; C4BPB; CD36; SERPINA1; PRCP; PLG; RHOG; XPNPEP1; PRDM4; KLK1; FN1; GMFB; CTSC; APOA4; TMPRSS6; PDP1; LYN; IRF2; GNAI2; GCA; CBLB","Upregulated"
"IL6_JAK_STAT3_SIGNALING",0.000914372406321838,0.0035074201292709,0.477270815362862,0.490997960911905,1.82659379111733,49,"IL4R; ACVR1B; BAK1; TGFB1; CSF1; IL17RA; LTBR; IL15RA; OSMR; TNFRSF1A; IL10RB; TNFRSF12A; IRF1; SOCS3; IFNGR1; IRF9; IL1R1; PIM1; TYK2; GRB2; SOCS1","Upregulated"
"TNFA_SIGNALING_VIA_NFKB",0.00178463633131553,0.00594878777105175,0.45505986738723,0.376225317262844,1.60752890860893,134,"PLAUR; RHOB; RNF19B; SLC2A3; DUSP5; PHLDA1; SDC4; CSF1; TSC22D1; SPSB1; CEBPD; PLAU; TNIP2; LDLR; TAP1; IL15RA; TRIB1; IER3; PHLDA2; PPP1R15A; IRF1; SOCS3; JAG1; ZFP36; MCL1; IER5; EHD1; FOS; SNN; TNFSF9; BTG2; AREG; SLC16A6; SMAD3; RCAN1; CDKN1A; SQSTM1; KDM6B; YRDC; ZC3H12A; BTG1; TNFAIP2; JUNB; ID2; FOSL1; BCL3; BTG3; PFKFB3; MXD1; F2RL1; IL23A; PLK2; MAFF; NFKBIE; NFKB2; IL18; DNAJB4; B4GALT1; GCH1; JUN; SERPINE1; F3; FUT4; SLC2A6; EGR1; EFNA1; PER1; IER2; NFE2L2; LIF; IRS2; IL6ST; TRIP10; ABCA1; SAT1","Upregulated"
"APICAL_JUNCTION",0.00244842302063089,0.00765132193947153,0.431707695803346,0.370865715912778,1.57946653813555,131,"MYL9; CERCAM; BMP1; IRS1; WASL; ITGB4; ZYX; CRAT; ARPC2; RRAS; SRC; INPPL1; VCAN; MAP4K2; ICAM5; LIMA1; MAPK11; HRAS; ADAM9; CLDN7; INSIG1; NECTIN2; CD276; SDC3; VASP; AMIGO1; CAP1; MDK; THBS3; LDLRAP1; RAC2; PKD1; MPZL1; ITGB1; ICAM4; TAOK2; MVD; FLNC; PIK3R3; NF2; BAIAP2; DHX16; PCDH1; ITGA10; ITGA3; ACTB; FSCN1; ARHGEF6","Upregulated"
"COAGULATION",0.00326583267283609,0.00960539021422379,0.431707695803346,0.390604644279341,1.61657945291039,99,"CAPN5; GSN; MSRB2; S100A13; C1R; BMP1; TIMP1; PLAU; F12; PDGFB; THBS1; ARF4; LRP1; MMP14; MMP15; ADAM9; F8; ISCU; LGMN; FURIN; MMP11; LAMP2; CPQ; C1S; GNB2; CSRP1; ANXA1; SIRT2; CASP9; CAPN2; KLKB1; FGA; CFH; SERPING1; CFI; SPARC","Upregulated"
"INFLAMMATORY_RESPONSE",0.00499262626340675,0.013868406287241,0.407017918923954,0.374930567465875,1.54060627433305,96,"PLAUR; IL4R; ACVR1B; TAPBP; P2RX4; CXCL8; CSF1; TIMP1; LDLR; IL10RA; LY6E; CD55; IL15RA; OSMR; MMP14; ACVR2A; ITGA5; ATP2A2; IRF1; ADM; TPBG; SCN1B; ICAM4; AXL; PVR; IL1R1; TNFSF9; BTG2; GABBR1; CDKN1A; IFITM1; SLC31A2; EMP3; SELENOS; ADRM1; MXD1; KIF1B; TNFRSF1B; IL18; GCH1; SERPINE1; NMI; MEP1A; CD40; F3","Upregulated"
"IL2_STAT5_SIGNALING",0.00672665404245111,0.0168166351061278,0.407017918923954,0.354555094761021,1.51700405366267,136,"ADAM19; ECM1; IL4R; P2RX4; RHOB; SLC2A3; PHLDA1; LRIG1; CSF1; CDCP1; MAPKAPK2; MYO1C; SOCS2; IL10RA; CISH; CAPG; GABARAPL1; ITGAV; PHTF2; TTC39B; LRRC8C; RNH1; BCL2L1; AGER; FURIN; SCN9A; RHOH; IFNGR1; SYNGR2; CCND3; SPRY4; SERPINB6; PLEC; PIM1; CKAP4; AHNAK; APLP1; SOCS1; CTSZ; DHRS3; NRP1; SYT11; NCOA3; CYFIP1; IL1R2; MXD1; NT5E; MAFF; GPX4; CASP3; GATA1; TNFRSF1B; PLPP1; IFITM3; ST3GAL4","Upregulated"
"OXIDATIVE_PHOSPHORYLATION",0.00668748990439348,0.0168166351061278,0.407017918923954,0.330943439484704,1.47106949669062,181,"RETSAT; COX17; ATP6V0B; MFN2; NDUFB7; MPC1; NDUFS8; ATP6AP1; ACADVL; NDUFA4; COX5B; COX6A1; NDUFB2; CYB5A; COX7A2; NDUFA3; BCKDHA; MGST3; SLC25A4; ISCU; NDUFS7; PDHX; NDUFA2; NDUFA7; UQCR11; SLC25A12; COX7C; COX7A2L; SLC25A11; NDUFAB1; ATP6V1E1; BDH2; NDUFV2; UQCR10; HADHB; COX4I1; NQO2; COX8A; NDUFC2; RHOT2; ACAT1; NDUFB1; NDUFA6; NDUFS6; SDHB; NDUFB8; SLC25A20; NDUFC1; FH; ATP6V1G1; COX6B1; UQCRC1; ATP6V1F; SDHD; ECI1; ACO2; BAX; MRPS12; NDUFA1; NDUFS3; NDUFV1; COX7B; MRPL34; NDUFA8; ECHS1; MRPS11; GPX4; ATP6V1D; CYB5R3; MDH1; CASP7; MRPL15; ATP6V0E1; UQCRQ; HCCS; MAOB; SURF1; ISCA1; SUCLG1; UQCRB","Upregulated"
"CHOLESTEROL_HOMEOSTASIS",0.0293453724604966,0.0698699344297538,0.282013350011725,0.372143304128639,1.47436191250397,70,"PLAUR; TM7SF2; LGALS3; LDLR; TP53INP1; ETHE1; ANTXR2; STX5; ANXA5; TNFRSF12A; LGMN; JAG1; FBXO6; S100A11; CPEB2; MVD; MVK; SC5D","Upregulated"
"ANGIOGENESIS",0.0579896907216495,0.131794751640112,0.211400189384923,0.473977276334151,1.45840916035346,22,"PDGFA; TIMP1; VTN; LRPAP1; VCAN; ITGAV; JAG1","Upregulated"
"DNA_REPAIR",0.0623213172189105,0.135051363797379,0.321775918075361,-0.214346326744493,-1.21282113131417,141,"POLA1; ZWINT; PRIM1; RFC4; RFC2; NCBP2; RAD51; RFC3; TYMS; RNMT; POLA2; RFC5; DUT; FEN1; LIG1; PCNA; DDB2; POLD3; GTF2H3; POLD1; TMED2; IMPDH2; POLR1D; RPA3; ALYREF; TP53; UMPS; NELFCD","Downregulated"
"XENOBIOTIC_METABOLISM",0.0648246546227418,0.135051363797379,0.179782316298324,0.298005185911644,1.29580400891269,149,"SMOX; PINK1; NDRG2; RETSAT; PEMT; TPST1; VTN; SLC35B1; CSAD; DDAH2; SERTAD1; APOE; GCNT2; TNFRSF1A; BCAR1; GABARAPL1; SLC35D1; CYB5A; DHRS1; ACP2; PTS; ATP2A2; DHPS; ALDH9A1; AP4B1; TMBIM6; MT2A; IGF1; IL1R1; CNDP2; EPHX1; BPHL; GSTM4; HES6; SLC6A12; DCXR; ACO2; AKR1C3; ID2; ACOX3; SAR1B; DHRS7; GAD1; VNN1; CASP6; ABHD6; GCH1; SERPINE1; CBR1; HMOX1; PTGR1; ELOVL5; CROT; ALDH2; F10; CDO1; HACL1; MBL2; CYP2J2; HGFAC; SLC12A4","Upregulated"
"TGF_BETA_SIGNALING",0.068075117370892,0.136150234741784,0.184706471207739,0.380441951334506,1.40439900213857,48,"SMAD6; TGFB1; ID3; SMAD7; THBS1; PPP1R15A; FURIN; SMAD3; SLC20A1; RAB31; ACVR1; ID1; JUNB; ID2; TJP1; CDH1; CDK9; SERPINE1; CDKN1C; SKIL; NCOR2","Upregulated"
"KRAS_SIGNALING_DN",0.08,0.153846153846154,0.166933848713193,0.352727396624877,1.35286070643776,58,"GPR3; CELSR2; SPHK2; GPRC5C; TNNI3; MFSD6; SLC29A3; KMT2D; MAST3; CLSTN3; IDUA; SNN; BTG2; ENTPD7; CPEB3; MX1; CCDC106; CDH16; PTPRJ; AKR1B10; KCND1; GAMT; SKIL; STAG3; SPTBN2; RYR1; NR6A1; COL2A1","Upregulated"
"ALLOGRAFT_REJECTION",0.0897009966777409,0.166112956810631,0.154190966581424,0.319065505118573,1.2986092816068,92,"IL4R; TAPBP; TGFB1; CSF1; CD3D; TIMP1; HLA-E; TAP1; CAPG; GBP2; IL27RA; FCGR2B; ACVR2A; IFNAR2; ELF4; IFNGR1; B2M; SPI1; CCND3; FLNA; CTSS; SOCS1; DEGS1; SRGN; BCL3; PTPN6; F2R; CD47; INHBB; IL18; HLA-A; CD40; CD4; DYRK3; CD7; LCP2; UBE2D1; MBL2; APBB1; LIF; PRKCB; AKT1; TAP2; EGFR; MRPL3; HCLS1; IL16; LYN; EIF5A; STAB1; TPD52","Upregulated"
"ANDROGEN_RESPONSE",0.108837371355057,0.194352448848316,0.287805130535564,-0.240615413752227,-1.27941211460669,84,"SLC38A2; FADS1; SORD; NGLY1; SPCS3; ELK4; RPS6KA3; IQGAP2; ZBTB10; LMAN1; ACSL3; PA2G4; UAP1; TNFAIP8; HMGCS1; CENPN; ELL2","Downregulated"
"APOPTOSIS",0.141621621621622,0.244175209692451,0.11776578836269,0.287319266641741,1.21636121994448,123,"GSN; MADD; RHOB; PPP2R5B; LGALS3; RETSAT; TIMP1; SMAD7; TAP1; IER3; DAP; TNFRSF12A; BCL2L1; IRF1; MCL1; IFNGR1; LMNA; ANXA1; CASP9; APP; RHOT2; BTG2; SC5D; SLC20A1; PSEN2; CDKN1A; RNASEL; SQSTM1; DNAJC3; FDXR; PPT1; CYLD; BAX; GPX1; BTG3; BID; F2R; TIMP2; TSPO; GPX4; CASP3; CASP6; ADD1; PAK1; CASP7; IL18; IFITM3; GCH1; JUN; HMOX1; PDGFRB; DIABLO","Upregulated"
"FATTY_ACID_METABOLISM",0.160733549083064,0.265446766205947,0.109250039480711,0.281530381687593,1.19854727396637,129,"ALDH1A1; LGALS1; UBE2L6; TP53INP2; RETSAT; AUH; CRAT; MIF; ACOT8; ACADVL; S100A10; GABARAPL1; HPGD; PTS; ALAD; CPT2; ALDH9A1; ACADS; CRYZ; HADHB; SMS; GPD1; SERINC1; RDH11; FH; EPHX1; BPHL; SDHD; ECI1; HIBCH; ACO2; GPD2; BLVRA; ECHS1; HMGCL; VNN1; CPOX; MDH1; NTHL1; CBR1; HCCS; ELOVL5; UROS; SUCLG1; ENO2; HMGCS2; UROD; HSD17B10","Upregulated"
"SPERMATOGENESIS",0.164576995047687,0.265446766205947,0.249246554383295,-0.250746122656079,-1.25352677423837,60,"DBF4; EZH2; RFC4; GMCL1; AURKA; NCAPH; BUB1; KIF2C; TTK; CDK1; NEK2; CCNB2; TOPBP1; MLLT10","Downregulated"
