"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","highlight"
"DDX3X",-1.940125,7.8064375,-20.0086637681879,7.03595626694947e-09,8.0892389201118e-05,10.3465025412775,"RBP"
"IDS",1.234975,6.6590375,16.4670884779058,4.01771107701239e-08,0.000230958121262058,9.02519290888491,"None"
"CAPN5",1.282875,3.1942375,15.0128752712952,9.12472069272102e-08,0.000349689712680712,8.35186570110001,"None"
"PROCR",1.5929,3.097425,13.990210923502,1.70022703473403e-07,0.000462726982294861,7.821460515404,"None"
"TWF1",1.183125,6.3814625,13.6729835014675,2.07995550663112e-07,0.000462726982294861,7.64628400317666,"None"
"TUBB1",-1.212625,3.9016875,-13.025321317687,3.18207825496852e-07,0.000462726982294861,7.27167451748162,"None"
"SEMA4F",1.0508,2.670475,12.8621956095395,3.55250503518057e-07,0.000462726982294861,7.17356079998396,"None"
"CPZ",1.1692,1.865225,12.836365389417,3.61541119252877e-07,0.000462726982294861,7.1578812222368,"None"
"LIMD2",0.990224999999999,2.4376875,12.4936911501478,4.57741306419257e-07,0.000462726982294861,6.94606673831315,"None"
"ALDH1A1",1.0438,5.1422,12.4899889634601,4.58924082784225e-07,0.000462726982294861,6.94373910268772,"None"
"SMOX",1.297525,3.3568375,12.4506536896838,4.71701321919752e-07,0.000462726982294861,6.91895561499365,"None"
"CFL2",1.01485,4.40755,12.4169214140978,4.82971539317938e-07,0.000462726982294861,6.89762543432356,"None"
"RABAC1",1.2515,4.9136,12.1145168631779,5.98389200563822e-07,0.000529206202990943,6.70318038953964,"None"
"ADAM19",1.49175,2.608425,11.8216209220762,7.39808996777403e-07,0.000590297925575646,6.50916764498968,"None"
"PSAT1",-1.7298,7.4438,-11.7668370615748,7.70154725896729e-07,0.000590297925575646,6.47224069974514,"None"
"TESK1",0.9412,3.470175,11.6541221383063,8.37000310749837e-07,0.00060143703579318,6.39561981389233,"None"
"GAR1",-1.086075,4.0415625,-11.3119561078087,1.08238820652326e-06,0.000681336629850435,6.15757973242514,"None"
"DAB2",1.125475,4.9336375,11.2218441770203,1.1595332520019e-06,0.000681336629850435,6.09349441585806,"None"
"GDAP1",1.008675,1.8844375,11.1430602363563,1.23196291887412e-06,0.000681336629850435,6.0369775677356,"None"
"BRPF3",0.841000000000003,6.670225,10.9729275382146,1.40599246082472e-06,0.000681336629850435,5.91335434634788,"None"
"PPIL1",-1.05265,6.41635,-10.9695658225633,1.40969349031608e-06,0.000681336629850435,5.91088967720017,"None"
"ECM1",0.872850000000001,1.839975,10.9367238530057,1.44642033143688e-06,0.000681336629850435,5.88676615241026,"None"
"MYL9",1.039225,2.6520375,10.9053752260619,1.48246253688174e-06,0.000681336629850435,5.86366286130829,"None"
"MAP3K6",0.979125,2.6917375,10.8498187081115,1.54879220657238e-06,0.000681336629850435,5.8225338844008,"None"
"BEND7",0.786,3.844725,10.8487176333072,1.55013940745732e-06,0.000681336629850435,5.82171634957301,"None"
"GAA",1.49275,3.282575,10.8305886813212,1.57250736568381e-06,0.000681336629850435,5.80824236579572,"None"
"PLAUR",0.8965,2.41975,10.7918803728208,1.62146608768175e-06,0.000681336629850435,5.77938805189973,"None"
"MTDH",-1.01095,6.9903,-10.7285194261818,1.70526916189952e-06,0.000681336629850435,5.7319053193916,"None"
"POLD4",0.88625,4.5937,10.7069251133623,1.73491130233771e-06,0.000681336629850435,5.71565075086562,"None"
"DNAJB5",1.32255,3.16645,10.6763447515614,1.77786369448665e-06,0.000681336629850435,5.69256940966752,"None"
"DDIT4",-1.01515,6.524575,-10.5862768138331,1.91132456140396e-06,0.000708854789756819,5.62415807070287,"None"
"ANKRD13D",1.10385,4.596625,10.5350334299693,1.99215379472185e-06,0.000713005726619295,5.584947113502,"None"
"MYPOP",1.034475,2.9650125,10.5018198958327,2.04655031559857e-06,0.000713005726619295,5.55941961665765,"None"
"C8orf58",0.874,3.030175,10.4284218318879,2.17265349264263e-06,0.000734676388379772,5.50268982843274,"None"
"DHX58",0.901875,2.9183375,10.1497148384878,2.73555587744159e-06,0.000891822180099449,5.28322933573015,"None"
"ASPH",1.23065,6.54665,10.1250955585459,2.79251965587372e-06,0.000891822180099449,5.26353024910191,"None"
"GSN",0.978225000000002,5.1806125,10.0677682074081,2.93028801823124e-06,0.00091052760393526,5.21745946291809,"None"
"UBA7",1.011875,3.6733625,10.0083120634266,3.08111687685804e-06,0.000932200019295708,5.16937977786295,"None"
"GPR3",1.678125,2.7648875,9.93378324315526,3.28237065236988e-06,0.000967626035648627,5.10867891777391,"None"
"IL4R",0.943300000000001,3.193975,9.88348164463766,3.42636049194538e-06,0.000984821664397402,5.06743588158887,"None"
"FBXW4",0.828049999999999,4.743975,9.74920822038288,3.84591441258782e-06,0.00103840309630378,4.95624725443534,"None"
"SCARB2",0.766074999999999,6.6902125,9.74268049108111,3.86770433402132e-06,0.00103840309630378,4.95080079505305,"None"
"MAP3K10",1.1433,4.076125,9.71932465202063,3.94678638684277e-06,0.00103840309630378,4.93128230266523,"None"
"SP6",0.911175,1.7404125,9.68689233873387,4.05956518961818e-06,0.00103840309630378,4.90409702326433,"None"
"SGPL1",0.983324999999999,5.6021875,9.67379236024033,4.10611927279345e-06,0.00103840309630378,4.89308943621604,"None"
"PRIM2",-0.905550000000003,4.45065,-9.64386639313747,4.21468641311785e-06,0.00103840309630378,4.86788494754554,"None"
"POLA1",-0.863925,4.5572375,-9.63565757080566,4.24501570203336e-06,0.00103840309630378,4.86095700499482,"None"
"CAB39L",1.578875,3.6837875,9.57547408955547,4.4748458095219e-06,0.00107181879733486,4.80997624414942,"None"
"PSMB9",0.96085,2.3781,9.52292355743924,4.68674358463819e-06,0.00108305975430638,4.76518896545351,"None"
"CNOT6",-0.878225000000001,6.1028875,-9.51727128579349,4.7101841972096e-06,0.00108305975430638,4.76035649479787,"None"
"PLEKHO1",1.133525,4.1755125,9.49099835269775,4.8208459134577e-06,0.0010867699111181,4.73785524632409,"None"
"TK2",0.652774999999999,4.0094375,9.42089385825328,5.13036606772951e-06,0.00113430420539781,4.67749978198449,"None"
"RMI1",-0.829975,3.3289875,-9.37052758816685,5.36621093226295e-06,0.00116406277524957,4.63385280886884,"None"
"KLC2",1.215775,5.4921625,9.23515641091517,6.06128240609121e-06,0.00127323158112345,4.51534669447085,"None"
"RAB32",0.799075,3.7798875,9.2297621967607,6.09095737686265e-06,0.00127323158112345,4.51058811078109,"None"
"TMX1",-0.742875,6.3964625,-9.1904140717535,6.31231230246663e-06,0.00129594025966891,4.47579148131007,"None"
"TEAD2",0.704625,4.9488625,9.12780873657343,6.68293905288094e-06,0.00134028381325751,4.42011771736556,"None"
"HELLS",-0.66565,4.24685,-9.10022211646453,6.85378571361828e-06,0.00134028381325751,4.39546381318647,"None"
"VSIG10L",0.717925,4.2284125,9.09636819442325,6.87803296357248e-06,0.00134028381325751,4.3920136493771,"None"
"FRS3",0.847174999999999,3.3965625,9.01722556539702,7.39739125222725e-06,0.00135606213060584,4.32083822585618,"None"
"SCG3",0.712125,1.0409875,9.01687016184952,7.3998185367861e-06,0.00135606213060584,4.32051720037119,"None"
"CEBPG",-0.859624999999999,6.7320375,-9.00800971488971,7.46061595232154e-06,0.00135606213060584,4.31250975832109,"None"
"SLC25A35",0.939575,2.3577625,8.99621188603238,7.54242172614795e-06,0.00135606213060584,4.30183558020183,"None"
"MPZL3",1.413975,3.9918625,8.97739439658027,7.67494749124645e-06,0.00135606213060584,4.28478156182636,"None"
"MT-RNR1",-0.634,11.197,-8.95142210052684,7.86208064122676e-06,0.00135606213060584,4.26118504340365,"None"
"ITPRIPL2",1.05705,1.9546,8.92090425783144,8.08839269615258e-06,0.00135606213060584,4.23337221618271,"None"
"ACVR1B",0.793400000000001,4.15785,8.91306194659826,8.147697760338e-06,0.00135606213060584,4.22620987489948,"None"
"CERCAM",1.205475,4.2004375,8.90964151422716,8.17371310129183e-06,0.00135606213060584,4.22308406823227,"None"
"TAPBP",0.754574999999997,7.7670625,8.9065001442525,8.19768628639806e-06,0.00135606213060584,4.22021224552224,"None"
"MSRB2",0.749375,3.6366625,8.89884303805785,8.25644508501427e-06,0.00135606213060584,4.21320798429292,"None"
"CCDC88C",0.84075,4.988625,8.879737534385,8.40508230312663e-06,0.00136103142590207,4.19570554396595,"None"
"STAR",-1.1193,2.858175,-8.86007959943675,8.56108950503567e-06,0.00136113889797416,4.17765838323309,"None"
"XRCC2",-0.8925,2.526625,-8.84498860323487,8.68301002036284e-06,0.00136113889797416,4.16377728623066,"None"
"ZSWIM8",0.8012,3.809475,8.83253543701428,8.78505534908975e-06,0.00136113889797416,4.15230505812923,"None"
"P2RX4",0.745074999999998,4.4378375,8.80885051671266,8.98278961620405e-06,0.00136113889797416,4.13044208781137,"None"
"PINK1",1.075,5.0693,8.80708778803061,8.99769994311874e-06,0.00136113889797416,4.12881266099365,"None"
"NASP",-0.689349999999998,7.5888,-8.78802849024138,9.16066243197409e-06,0.00136779397377151,4.11117432670314,"None"
"SKA3",-1.10775,2.940825,-8.7663785519087,9.34971627952139e-06,0.00137812420596997,4.09109321813508,"None"
"SMIM14",0.723675000000001,4.3562125,8.74806018931087,9.51302462367157e-06,0.00138444612782724,4.07406454972081,"None"
"NABP2",0.704625,5.1489125,8.70973613660906,9.86490371319198e-06,0.00139384850369623,4.03832643866723,"None"
"WIPI1",0.947125,5.1476625,8.70565490247671,9.90320989378988e-06,0.00139384850369623,4.03451161449255,"None"
"DDR1",0.929349999999999,6.98255,8.70160967531056,9.94133924528929e-06,0.00139384850369623,4.03072873854114,"None"
"NAT10",-0.650174999999999,6.2622125,-8.66343954742761,1.03091597756316e-05,0.00142800493904141,3.99495019596861,"None"
"SAT2",0.907775,3.7519125,8.62340790443497,1.07110300762693e-05,0.00143964915490916,3.95726310497696,"None"
"EDEM2",0.656675,4.6610125,8.61819141771896,1.07646511233407e-05,0.00143964915490916,3.95233974612133,"None"
"RELL2",1.18455,3.916925,8.61778110997454,1.07688812144201e-05,0.00143964915490916,3.95195237319429,"None"
"LZTR1",0.863574999999999,6.0429625,8.55547402686777,1.14329137582674e-05,0.00151023228216393,3.89292184996891,"None"
"CXCL8",1.39706,1.790195,8.54404055596416,1.15595756136754e-05,0.00151023228216393,3.88204499182971,"None"
"LGALS3BP",0.965649999999999,3.879925,8.50920284428798,1.19550999672168e-05,0.00153732765518561,3.848817487056,"None"
"RCAN3",0.627325,2.2155875,8.50237037311923,1.20343993186661e-05,0.00153732765518561,3.84228562446721,"None"
"GSDMD",1.0745,2.651525,8.48656979104678,1.22200035957937e-05,0.00153873689075047,3.82716109066646,"None"
"TANC1",1.0492775,1.50721125,8.46360036449714,1.24954411016564e-05,0.00153873689075047,3.80512670005784,"None"
"SMAD6",0.753975,3.1331375,8.46197644284589,1.25151704629508e-05,0.00153873689075047,3.80356673967949,"None"
