"EVENT" "median_value" "mean_value" "var_value"
"HsaEX0000001" 70.58 70.5886138613861 812.182248059406
"HsaEX0000003" 72.38 69.6870731707317 1056.87566046372
"HsaEX0000004" 91.67 79.9592156862745 703.765291372549
"HsaEX0000006" 100 81.3498095238095 829.235882655678
"HsaEX0000008" 100 75.1714285714286 1219.29478986175
"HsaEX0000014" 29.03 40.7798113207547 1458.10433265602
"HsaEX0000021" 1.19 11.4397058823529 796.239095952242
"HsaEX0000023" 89.15 82.5961764705882 398.591279295282
"HsaEX0000031" 88.36 82.9103846153846 495.718364555053
"HsaEX0000034" 38.435 48.9683333333333 668.795976666667
"HsaEX0000036" 100 86.7030188679245 594.857956095791
"HsaEX0000038" 57.56 58.3183916083916 354.013907958239
"HsaEX0000039" 42.625 45.7171052631579 1018.3313464136
"HsaEX0000041" 87.46 81.1771186440678 518.686058293496
"HsaEX0000053" 36.755 42.2423571428571 648.791126058582
"HsaEX0000063" 84.21 75.5952873563218 801.788539160652
"HsaEX0000065" 33.33 38.2832978723404 768.535482555479
"HsaEX0000066" 41.425 45.3254347826087 580.14086294827
"HsaEX0000067" 74.955 70.91375 898.817138095238
"HsaEX0000082" 75.945 69.2711363636364 1158.01268937632
"HsaEX0000097" 0 13.3970833333333 947.191199822695
"HsaEX0000102" 8.7 13.4316911764706 291.47217119281
"HsaEX0000124" 100 71.7588333333333 1477.40498336158
"HsaEX0000128" 100 77.6968181818182 1207.19173701299
"HsaEX0000132" 19.305 36.347 1812.67161157895
"HsaEX0000133" 6.905 12.579 307.018012170543
"HsaEX0000165" 88.52 84.1444615384615 283.769423351222
"HsaEX0000175" 87.75 86.012275862069 145.352489923372
"HsaEX0000199" 13.44 17.5275524475524 190.522960868709
"HsaEX0000209" 9.58 20.0283870967742 830.268635413745
"HsaEX0000243" 88.49 81.5747872340425 505.815775760695
"HsaEX0000244" 94.6 82.468 790.934910561798
"HsaEX0000246" 85.82 66.5085897435897 1392.72311616717
"HsaEX0000264" 100 84.5007246376812 659.746900937766
"HsaEX0000274" 83.05 79.7585815602837 381.761562259372
"HsaEX0000275" 12.365 14.6803623188406 165.061978699884
"HsaEX0000318" 100 82.6097368421053 1359.70206984164
"HsaEX0000411" 14.45 17.4118604651163 209.194919949128
"HsaEX0000422" 74.44 66.5394871794872 1301.44178394062
"HsaEX0000423" 20.86 33.9647706422018 1359.30261962283
"HsaEX0000448" 89.96 85.7135576923077 307.736211491785
"HsaEX0000507" 96.3 80.6892380952381 786.07823018315
"HsaEX0000520" 13.64 18.1177419354839 483.386619845722
"HsaEX0000527" 84.375 77.3156382978723 662.630996900023
"HsaEX0000557" 88.225 84.0630555555556 221.170155633256
"HsaEX0000577" 9.68 27.4782666666667 1428.58771722523
"HsaEX0000585" 10.27 15.7595555555556 492.258291935081
"HsaEX0000601" 75.38 70.2755944055944 398.431113552645
"HsaEX0000634" 51.65 54.0296212121212 554.103623519547
"HsaEX0000641" 24.93 39.866 1334.85908666667
"HsaEX0000647" 53.31 53.8706896551724 202.517218965517
"HsaEX0000651" 0.35 14.7162676056338 731.391273204475
"HsaEX0000664" 85.215 84.3358928571429 227.432298294723
"HsaEX0000712" 58.62 59.2430215827338 478.729171963299
"HsaEX0000722" 7.855 20.7765492957746 720.613119213865
"HsaEX0000724" 88.69 74.6799275362319 832.387067877922
"HsaEX0000731" 10.11 18.61825 507.584791029412
"HsaEX0000777" 100 74.3535555555556 1374.62173707071
"HsaEX0000788" 76.295 72.6660447761194 700.909909802491
"HsaEX0000789" 75 75.6610218978102 410.44108718334
"HsaEX0000817" 82.35 78.2981679389313 416.500276617733
"HsaEX0000821" 55.625 58.7172727272727 707.595760444136
"HsaEX0000829" 30.21 37.2022302158273 685.601527598791
"HsaEX0000833" 8.045 15.8966346153846 534.233608952577
"HsaEX0000843" 100 86.2055384615385 841.444403221154
"HsaEX0000851" 89.55 86.1244715447154 205.817062628282
"HsaEX0000852" 77.48 74.2851034482759 279.126984885057
