Event.ID	Gene	dPSI	Pdiff
HsaEX0052743	RBM5	0.093784044	0.583
HsaEX0052979	RECQL	-0.07666153	0.7655
HsaEX0005510	ARHGAP33	-0.217963062	0.7535
HsaEX0000788	AC004381.6	-0.278246351	0.692
HsaEX0000789	AC004381.6	0.127593634	0.725
HsaEX0017199	CREBBP	0.144980929	0.7315
HsaEX0037611	MAP3K9	0.012592703	0.5495
HsaEX0066936	TRAPPC6A	0.032050284	0.531
HsaEX0017127	CRAMP1	-0.046973618	0.5105
HsaEX0017128	CRAMP1	-0.046408662	0.5785
HsaEX1007979	CDK11A	-0.085756656	0.811
HsaEX0014265	CDK11A	-0.009534005	0.6105
HsaEX1025603	NFIX	-0.000132898	0.5025
HsaEX0015695	CLK1	-0.294808841	1
HsaEX0003568	ALAS1	-0.056896152	0.762
HsaEX0003354	AKAP11	0.40637315	0.8935
HsaEX0003358	AKAP11	0.010805689	0.598
HsaEX0066470	TOMM34	-0.100043855	0.943
HsaEX0031101	IFT88	0.005900828	0.586
HsaEX0005036	APBA2	0.000293324	0.503
HsaEX1024931	MYOM2	-0.220364192	0.7335
HsaEX0052011	RAI14	0.092218714	0.789
HsaEX0062378	STAU2	0.120323403	0.6825
HsaEX0027312	GEMIN8	-0.070918467	0.5715
HsaEX1029857	PTCD2	-0.001090916	0.5005
HsaEX0049014	POLQ	0.167914636	0.7045
HsaEX0005812	ARID4B	0.000680191	0.579
HsaEX0034477	KIF1B	-0.030601605	0.548
HsaEX0065841	NDC1	0.029676809	0.6185
HsaEX0022820	EPN1	-0.060575169	0.699
HsaEX0074312	ZNF76	0.043066489	0.5425
HsaEX0041285	MYO9A	0.167400342	0.733
HsaEX0061093	SP100	-0.078993092	0.58
HsaEX0060452	SMG6	0.091283423	0.677
HsaEX0037668	MAP4K4	-0.003325176	0.516
HsaEX0037671	MAP4K4	0.083585149	0.6355
HsaEX0055620	RPS6KA6	0.012919261	0.5635
HsaEX0067330	TRNT1	0.333803014	0.93
HsaEX0023338	EVC	-0.028309487	0.5965
HsaEX0045384	PANX2	0.039621292	0.5735
HsaEX0033323	KDM5A	0.041970476	0.706
HsaEX0020860	DPP8	0.02016258	0.5815
HsaEX0067947	TTC38	0.247905747	0.9065
HsaEX0052394	RASAL2	-0.00265855	0.5415
HsaEX0007809	BCAP29	-0.065624795	0.552
HsaEX0056967	SEC31B	0.01497954	0.503
HsaEX0052782	RBMS2	0.013855794	0.529
HsaEX0043995	NT5C2	0.120939753	0.917
HsaEX0024639	FAM76B	0.167241663	0.8835
HsaEX1028777	POLD3	0.104750658	0.667
HsaEX0068385	TULP3	-0.002904937	0.547
HsaEX0068731	UBE2D4	0.00568392	0.549
HsaEX0064844	THOC1	0.05172682	0.7485
HsaEX0051832	RABL2B	0.1005433	0.887
HsaEX0001569	CRYBG3	0.203633366	0.7035
HsaEX0053616	RIF1	0.007712633	0.5815
HsaEX0037286	MAGI3	0.050037953	0.622
HsaEX0060342	SMARCD3	-0.078334627	0.8
HsaEX0020727	DOPEY1	-0.267809443	0.711
HsaEX0020721	DOPEY1	0.067203272	0.596
HsaEX0041381	KAT6A	-0.088778038	0.5695
HsaEX0072370	ZCCHC6	0.159917941	0.884
HsaEX0045091	P2RX5	0.184549793	0.737
HsaEX0018233	CYLD	-0.069803309	0.572
HsaEX0061847	SSH1	-0.132644412	0.5475
HsaEX0037572	MAP3K4	0.062816359	0.8445
HsaEX0049146	POMGNT1	0.043954252	0.737
HsaEX0051942	RAD54L	-0.027391701	0.5795
HsaEX0035459	LAT2	0.071020159	0.568
HsaEX1017290	HUWE1	0.028603415	0.606
HsaEX0061797	SRRT	0.115952425	0.989
HsaEX0034749	KLHL42	0.08967674	0.778
HsaEX0022632	EPB41L1	-0.008207415	0.5585
HsaEX0020579	DOCK3	-0.140876341	0.615
HsaEX0052550	RBBP9	-0.263849692	0.8735
HsaEX0026994	GANAB	-0.007603136	0.5985
HsaEX0052716	RBM41	0.0669297	0.7925
HsaEX0019590	DHX32	0.076304083	0.78
HsaEX0045162	PABPC4	0.010510572	0.61
HsaEX0066370	TNRC6A	-0.004879459	0.51
HsaEX0047755	PITPNM2	0.132811311	0.5675
HsaEX0032370	ITGA6	0.048009484	0.5
HsaEX1008093	CDV3	-0.022960868	0.546
HsaEX1007499	CCDC80	0.050787956	0.596
HsaEX0041297	MYO9B	-0.001899481	0.56
HsaEX0009941	CBARP	0.071611956	0.569
HsaEX0039398	MKNK2	0.055092326	0.644
HsaEX0056809	SEC14L2	-0.140520007	0.706
HsaEX0030014	HIRA	-0.041179797	0.7155
HsaEX0057951	SH3BP1	-0.091819922	0.5505
HsaEX0045688	PATZ1	0.162086407	0.6795
HsaEX0045689	PATZ1	0.009875184	0.525
HsaEX1011795	DMC1	-0.158647242	0.569
HsaEX0045197	PACSIN2	-0.01064864	0.5015
HsaEX0004865	AP1B1	-0.119059899	0.809
HsaEX0030241	HMGXB4	0.022672885	0.566
HsaEX0064870	THOC5	-0.09556893	0.8085
HsaEX0029368	HDAC10	0.011706503	0.5005
HsaEX0048208	PLEK2	0.024504641	0.82
HsaEX0001928	ACIN1	0.138148753	0.75
HsaEX0033600	KIAA0391	0.01568423	0.5515
HsaEX0020352	DNAJC5	0.089449064	0.674
HsaEX0056532	SCML2	-0.113493448	0.8035
HsaEX0024471	SUPT20H	-0.151182871	0.7135
HsaEX0039136	MGRN1	0.013421542	0.5835
HsaEX0007386	AXIN1	-0.019669461	0.551
HsaEX0067508	TSC2	0.011810731	0.5245
HsaEX0068757	UBE2I	-0.049732603	0.541
HsaEX1016995	HMOX2	-0.046701708	0.59
HsaEX0072582	ZFAND1	0.02907573	0.6075
HsaEX0060707	SNRNP70	0.0545192	0.998
HsaEX0067284	TRMT1	-0.050009162	0.612
HsaEX0003397	AKAP8	0.060628298	0.8905
HsaEX0013632	CCNE1	-0.116933312	0.848
HsaEX1017048	HNRNPUL1	0.009718945	0.5095
HsaEX0006943	ATP5SL	-0.047308985	0.6575
HsaEX0051219	PTPRS	-0.003157014	0.523
HsaEX0038769	MEGF8	0.007177603	0.5615
HsaEX1009240	CNTNAP3	-0.025259399	0.552
HsaEX1029916	PTGR1	0.084847421	0.652
HsaEX0020467	DNMBP	0.080006112	0.566
HsaEX0021463	EBF3	0.324713208	0.865
HsaEX0027507	GIT1	-0.022044358	0.5485
HsaEX0069042	UBTF	0.054770194	0.6175
HsaEX0067036	TRIM16L	0.1681117	0.7665
HsaEX1027773	PFN1	0.060424205	0.6295
HsaEX6022724	KAT2A	0.071477759	0.6675
HsaEX0030524	HSD17B1	0.00248337	0.515
HsaEX0000133	AADAT	-0.031680332	0.5925
HsaEX0026131	FNBP4	-0.015676803	0.5215
HsaEX0026132	FNBP4	0.257776291	0.9905
HsaEX0050944	PTPMT1	-0.050349099	0.763
HsaEX0035640	P3H3	0.001432252	0.5445
HsaEX0012263	CAMKK2	-0.129784859	0.8065
HsaEX1041562	TNS2	-0.052976823	0.5025
HsaEX0036880	LTA4H	-0.001307559	0.536
HsaEX0001726	ACAD10	0.000646102	0.5095
HsaEX0038281	MCM9	0.288419637	0.7525
HsaEX6050264	MRPL18	0.113814726	0.5755
HsaEX0028404	GPR63	-0.034387611	0.549
HsaEX0028280	ADGRG6	0.10682929	0.613
HsaEX0028282	ADGRG6	0.135704854	0.6245
HsaEX1030278	QKI	0.036027221	0.713
HsaEX0014843	CEP72	-0.442638254	0.7805
HsaEX0030208	HMGCS1	0.086104616	0.8095
HsaEX0030206	HMGCR	-0.014605274	0.596
HsaEX0023698	FAF2	-0.032800898	0.597
HsaEX0043533	NPHP3	0.001083025	0.504
HsaEX0001805	ACAP2	0.007152442	0.6145
HsaEX0021536	ECT2	-0.081229551	0.6735
HsaEX0040118	MRPL3	-0.039367074	0.5225
HsaEX0034003	KANSL3	0.000659032	0.5165
HsaEX0055565	RPS15	0.081332328	0.532
HsaEX0067913	TTC31	-0.022167798	0.5715
HsaEX0026100	FN1	-0.003020097	0.5405
HsaEX0026101	FN1	0.071572701	0.591
HsaEX0022185	ELMOD3	-0.004287781	0.5235
HsaEX0037909	MARK1	0.040824214	0.6165
HsaEX0037206	MAD2L2	-0.000955134	0.54
HsaEX0069097	UCHL5	-0.018081378	0.586
HsaEX0063985	TBCE	-0.042908105	0.8085
HsaEX0035676	LGALS8	-0.060939603	0.64
HsaEX0017678	CTBS	0.047719988	0.5365
HsaEX0003461	AKR1A1	-0.119335144	0.9845
HsaEX0023641	F3	0.029297111	0.51
