"Event.ID" "Gene" "dPSI" "Pdiff"
"HsaEX0035418" "LAS1L" -0.106523967798684 0.73775
"HsaEX0057075" "SEMA3F" -0.0333354694430756 0.57175
"HsaEX0052743" "RBM5" -0.194452594959119 0.805
"HsaEX0033220" "KDM1A" -0.40381580081242 0.99675
"HsaEX0052979" "RECQL" -0.393199367487059 0.8935
"HsaEX0017199" "CREBBP" -0.480248376371596 0.94375
"HsaEX0063233" "SYNRG" -0.0881807730457342 0.75
"HsaEX0037942" "MARK4" -0.00258764171981594 0.54
"HsaEX0017127" "CRAMP1L" -0.41580500544789 0.9585
"HsaEX0017128" "CRAMP1L" -0.655500588820224 0.93875
"HsaEX0014265" "CDK11A" -0.101262664855608 0.8175
"HsaEX0061192" "SPAG9" -0.0413684788173973 0.60975
"HsaEX0029554" "HEATR5B" -0.380260956909264 0.866
"HsaEX0024635" "FAM76A" 0.046929254484166 0.57725
"HsaEX0007712" "BAZ1B" -2.52630413482662e-05 0.504
"HsaEX0043017" "NISCH" 0.459457417282005 0.93675
"HsaEX0056513" "SCMH1" -0.171396066030192 0.80275
"HsaEX0015560" "CLCN6" -0.350058695452584 0.77225
"HsaEX0003401" "AKAP8L" -0.047270293251966 0.7455
"HsaEX0056005" "RWDD2A" -0.156725259410354 0.8805
"HsaEX0015695" "CLK1" 0.0372439941208589 0.56925
"HsaEX0003568" "ALAS1" -0.271703293575417 0.7395
"HsaEX0003358" "AKAP11" -0.111370108217687 0.85325
"HsaEX0066470" "TOMM34" -0.247653087378368 0.965
"HsaEX0024923" "FAS" -0.295450744523448 1
"HsaEX0070690" "VRK2" -0.0124986045248778 0.586
"HsaEX0070691" "VRK2" -0.138908665779261 0.75875
"HsaEX0031099" "IFT88" -0.344018929004819 0.93225
"HsaEX0031101" "IFT88" 0.0274274410855802 0.548
"HsaEX0006962" "ATP6V0A1" -0.13858203006721 0.7235
"HsaEX0059843" "SLC4A7" -0.138930510813562 0.68175
"HsaEX0005036" "APBA2" -7.21025735792719e-06 0.5065
"HsaEX0058096" "SH3YL1" 0.00704087282005833 0.50775
"HsaEX0063853" "TBC1D23" -0.0735258060584488 0.90475
"HsaEX0008309" "BOD1L" -0.121700404238217 0.6955
"HsaEX0052011" "RAI14" 0.00926047079987125 0.5375
"HsaEX0024580" "FAM65C" -0.265276661273119 0.80375
"HsaEX0027312" "GEMIN8" -0.192814660319689 0.775
"HsaEX0028052" "GOPC" -0.0567456529375637 0.875
"HsaEX0012809" "CC2D2A" 0.0187226773282232 0.52725
"HsaEX0051521" "R3HDM1" 0.0466792225468363 0.61075
"HsaEX0034675" "KITLG" -0.304699089386088 1
"HsaEX0005757" "ARID1B" -0.047118567355243 0.6285
"HsaEX0026187" "FNIP2" -0.425999378437835 0.83075
"HsaEX0005812" "ARID4B" 0.023111345476398 0.55075
"HsaEX0051188" "PTPRN" 0.0420313132471619 0.61975
"HsaEX0051288" "PUM2" -0.14646301925165 0.8075
"HsaEX0051290" "PUM2" 0.0271061857822773 0.55975
"HsaEX0052839" "RC3H2" -0.10439669579046 0.861
"HsaEX0006646" "ATG5" -0.0898123965455844 0.61575
"HsaEX0017300" "CROCC" 0.000855993015882572 0.5015
"HsaEX0071983" "YIPF1" -0.276340982903263 0.78875
"HsaEX0065841" "TMEM48" -0.0124357785772048 0.565
"HsaEX0039780" "MON2" -0.86318236095863 0.9985
"HsaEX0032264" "ISOC2" -0.104135681048114 0.81475
"HsaEX0058582" "SLC12A2" -0.0480177880318294 0.627
"HsaEX0004568" "ANKS1A" -0.00858312152876561 0.5045
"HsaEX0074312" "ZNF76" -0.17558869406249 0.7215
"HsaEX0032865" "KARS" -0.061033888142793 0.68475
"HsaEX0046374" "PDIA5" 0.00680180239345074 0.517
"HsaEX0041000" "MYLK" 0.00823358570741428 0.516
"HsaEX0060062" "SLC9A7" 0.000173655360887093 0.507
"HsaEX0041281" "MYO9A" -0.00623709121759197 0.54575
"HsaEX0061093" "SP100" -0.270217800575031 0.9125
"HsaEX0042588" "NEO1" -0.00995171950683893 0.71275
"HsaEX0047109" "PHKA1" 0.0012138692471434 0.51325
"HsaEX0062580" "STOML1" 0.0325893208941607 0.611
"HsaEX0041774" "NAV3" 0.165180032537696 0.6285
"HsaEX0054256" "ROGDI" -0.143314264790236 0.74525
"HsaEX0023087" "ERLEC1" 0.0343053579166203 0.59325
"HsaEX0038007" "MAST4" 0.0287147095497985 0.5845
"HsaEX0064232" "TCOF1" -0.0751208900769507 0.59775
"HsaEX0014054" "CDC42" -0.106119339972337 0.51225
"HsaEX0044911" "OSBPL3" -0.388672257130499 0.998
"HsaEX0037671" "MAP4K4" -0.113759954721881 0.949
"HsaEX0023338" "EVC" -0.117538741861328 0.68925
"HsaEX0033323" "KDM5A" -0.0685435939510142 0.61525
"HsaEX0048320" "PLEKHC1" -0.0192440756518608 0.584
"HsaEX0031140" "IGF2BP2" -0.177234901285595 0.96375
"HsaEX0015474" "CLASP1" -0.346601962022574 0.969
"HsaEX0020860" "DPP8" -0.00470490426491053 0.52325
"HsaEX0050930" "PTPLAD1" 0.000937872625088755 0.52625
"HsaEX0022062" "EIF4G3" 0.163556395802638 0.99925
"HsaEX0067947" "TTC38" 0.0134792941214495 0.5755
"HsaEX0052782" "RBMS2" -0.209305509409554 0.9625
"HsaEX0043995" "NT5C2" -0.0319174213560101 0.86275
"HsaEX0005556" "ARHGEF1" 0.0348878812329976 0.64175
"HsaEX0069762" "USP33" -0.0889506988442125 0.587
"HsaEX0024639" "FAM76B" -0.181184154892185 0.81475
"HsaEX0028968" "GTF2I" -0.014266011148205 0.80775
"HsaEX0028969" "GTF2I" -0.260519041281801 0.9995
"HsaEX0068385" "TULP3" -0.0565163711316951 0.618
"HsaEX0064844" "THOC1" 0.163150506402795 0.757
"HsaEX0044927" "OSBPL6" -0.187489501140441 0.64625
"HsaEX0044928" "OSBPL6" -0.158451358691146 0.67825
"HsaEX0051832" "RABL2B" -0.173374353022946 0.83075
"HsaEX0053616" "RIF1" -0.166666661637303 0.7865
"HsaEX0060342" "SMARCD3" 0.00106870179804852 0.52275
"HsaEX0022978" "ERC1" -0.223262013841702 0.74875
"HsaEX0072370" "ZCCHC6" -0.0538551984112404 0.6085
"HsaEX0046469" "PDS5B" -0.148544108168753 0.81625
"HsaEX0018233" "CYLD" -0.465016727026741 0.89225
"HsaEX0061847" "SSH1" -0.291266560150937 0.88875
"HsaEX0016343" "COL16A1" -0.148094073943588 0.8145
"HsaEX0037572" "MAP3K4" -0.0227403643024762 0.651
"HsaEX0049146" "POMGNT1" -0.0144683687077524 0.567
"HsaEX0061797" "SRRT" 0.106704486999675 0.79325
"HsaEX0002792" "ADD1" -0.0187301901064081 0.83775
"HsaEX0042906" "NID2" -0.138010276451883 0.999
"HsaEX0034749" "KLHDC5" -0.0286958947885412 0.636
"HsaEX0027841" "GNAS" -0.137775629675142 1
"HsaEX0022632" "EPB41L1" -0.0281297951975884 0.657
"HsaEX0020670" "DOCK9" -0.0803241772048028 0.63175
"HsaEX0026994" "GANAB" 0.135199622990879 0.9975
"HsaEX0027788" "GMIP" -0.22298935754335 0.6865
"HsaEX0019590" "DHX32" -0.131726041510469 0.8825
"HsaEX0045162" "PABPC4" -0.202271108762466 0.97875
"HsaEX0066370" "TNRC6A" -0.138078230803833 0.78175
"HsaEX0047755" "PITPNM2" 0.176802210068107 0.84625
"HsaEX0023429" "EXOC1" -0.126293440161702 0.837
"HsaEX0044946" "OSBPL8" -0.0158103470883264 0.66325
"HsaEX0032370" "ITGA6" -0.0911404616906198 0.69325
"HsaEX0010348" "C1orf9" 0.00263207700893486 0.51875
"HsaEX0070816" "WAC" -0.363220620484144 0.997
"HsaEX0041297" "MYO9B" -2.56441952584119e-06 0.50375
"HsaEX0037867" "MARCH2" -0.157245435736058 0.714
"HsaEX0045309" "PALM" -0.0245138028020638 0.831
"HsaEX0006127" "ARVCF" -0.0142466378107747 0.575
"HsaEX0006131" "ARVCF" -0.00890403955847806 0.601
"HsaEX0030014" "HIRA" -0.0415284144650129 0.634
"HsaEX0047587" "PIK3IP1" -0.507224718201261 1
"HsaEX0045689" "PATZ1" -0.289387343762517 0.86675
"HsaEX0064155" "TCF20" -0.182877659106888 0.81325
"HsaEX0056293" "SBF1" -0.423486654132842 0.88725
"HsaEX0045197" "PACSIN2" -0.00106429932327212 0.52125
"HsaEX0004866" "AP1B1" 0.00060632277052183 0.509
"HsaEX0030241" "HMGXB4" -0.309474609257829 0.977
"HsaEX0038186" "MCAT" -0.290503731631587 0.90025
"HsaEX0064869" "THOC5" 0.266413027697016 0.9615
"HsaEX0064870" "THOC5" -0.211390509889557 0.8045
"HsaEX0040616" "MTMR3" -0.218588094474254 0.87825
"HsaEX0018828" "DDHD1" 0.0237480947228843 0.55125
"HsaEX0033754" "KIAA0586" 0.195249641555209 0.685
"HsaEX0001928" "ACIN1" -0.0161319934913807 0.5435
"HsaEX0021772" "EFS" -0.0252179638979186 0.54725
"HsaEX0010479" "C20orf24" -0.0325091994484499 0.66625
"HsaEX0054184" "RNMT" -0.128025989394369 0.81725
"HsaEX0039848" "MOSPD1" -0.420462214386974 1
"HsaEX0062178" "STAG2" -0.17245106867913 0.8945
"HsaEX0060260" "SMARCA1" 0.113223781252152 0.98925
"HsaEX0024471" "FAM48A" -0.510859732497796 0.9995
"HsaEX0039136" "MGRN1" -0.0175018140686148 0.701
"HsaEX0067508" "TSC2" 0.138268634279545 0.72825
"HsaEX0020236" "DNAJA3" -0.145273798211745 0.761
"HsaEX0051416" "PYCARD" -0.0554785610487556 0.554
"HsaEX0031121" "IGDCC4" 0.13365532980191 0.75575
"HsaEX0008187" "BMF" -0.386418163640222 0.97
"HsaEX0040940" "MYEF2" -0.500190633975206 0.927
"HsaEX0040941" "MYEF2" -0.000984090005108464 0.5045
"HsaEX0057930" "SH2D4A" -0.251238717732663 0.87125
"HsaEX0060707" "SNRNP70" 0.103825089009917 0.96775
"HsaEX0020760" "DOT1L" 0.048878756015486 0.72375
"HsaEX0067284" "TRMT1" -0.0435245082713968 0.66125
"HsaEX0003397" "AKAP8" -0.0160686794046187 0.5745
"HsaEX0006942" "ATP5SL" -0.232619014636348 0.9865
"HsaEX0006943" "ATP5SL" -0.0359110606564217 0.6295
"HsaEX0051219" "PTPRS" -0.0175954666720432 0.532
"HsaEX0038769" "MEGF8" 0.00769208603660777 0.515
"HsaEX0012084" "CACNG7" -0.133045044857836 0.7315
"HsaEX0035997" "LMBR1" 0.00927462020860503 0.518
"HsaEX0025828" "FKBP14" -0.00430279122923274 0.563
"HsaEX0046024" "PCOLCE" 0.000972510555897983 0.63475
"HsaEX0046957" "PHF14" -0.455410222637838 0.99675
"HsaEX0063768" "TBC1D13" -0.290128671684733 0.948
"HsaEX0072595" "ZFAND5" -0.258948421491047 1
"HsaEX0030410" "HPS1" -0.120716484607557 0.8515
"HsaEX0030411" "HPS1" -0.186403974925143 0.99
