Gene	t
MS4A15	-15.64205467
HSPA6	24.1939129
EGR4	29.5761892
CLEC7A	-15.28600348
IL12A-AS1	26.24998193
CCL24	-13.52033781
CSGALNACT1	-21.57479258
CCL2	-24.65166901
CD180	-21.43343748
SMOC1	-24.98053155
PRSS35	-19.07220743
SPATA31G1	22.22713956
DUSP2	21.92481692
GDF15	-15.33565227
FOS	41.02874552
CNIH3	-15.20651306
IGFL2-AS1	-23.00493727
EGR1	42.29185062
TNFRSF11B	-22.9516348
IGFBP5	-26.80324172
MT1X	23.59410661
SLC34A2	-14.91734333
SOX2	-20.75057354
SOX5	-24.95778042
ADPRHL1	27.31603317
AKR1C3	-14.38601433
CXCL14	-22.32979783
NR4A3	22.03817867
SLC10A1	18.54005945
BICDL2	16.10961054
NR4A1	22.49687413
PDGFRA	-22.34191228
H3P21	-14.65718182
TCP11L2	-15.47127254
ZFAND2A	23.43883721
LINC02582	-15.17027367
DNAJA4	23.76686341
BMF	-17.28487032
SLCO4C1	-17.54913142
ALPP	-17.33735316
ITGB8	-24.96975288
NR4A1AS	21.73595727
PPP1R15A	31.99726061
NFE2L3	23.88682965
MT2A	26.28070433
SLC2A12	-18.26246135
PHLDA1-AS1	-12.99998004
LUM	-17.23432213
ADAMTS1	16.06324307
ROR1	-16.03797496
SESN3	-21.6309976
ITGB3	-13.02253484
MT1E	26.63648676
FERMT3	17.24760947
MAGEL2	-14.15478701
C3	-15.61975461
FOSL1	21.60609425
LOXL4	-21.66874453
DUSP1	26.54593784
RNF43	-19.34280687
PLEKHG1	-19.06891546
TRIM43B	-10.42469783
LRRN1	-23.83190207
MARCHF4	23.20234521
CLDN1	-13.73667802
TRIM49B	-10.38242286
H3Y1	-15.26702969
IGF2BP2-AS1	19.21933599
GPNMB	-18.83125972
ADM	14.03950585
HTRA1	-17.1051392
TRIM53CP	-11.11262388
ID3	20.59283467
LINC02901	17.33188472
COL11A1	-23.50725027
TRIM43	-13.29668226
MIAT	-12.3775133
SCN9A	-13.94120236
TJP3	-14.66367801
TRIM48	-11.9084034
YPEL2	-18.93818108
TP53INP1	-20.13022645
L1CAM	-15.91790015
LAMA4	-14.63177063
PDGFB	-16.10996542
GALNT5	-17.49080897
ARL4C	-24.96463279
EGR2	14.59490456
BLACAT1	-14.08961692
IFIT2	-8.800478712
IFIT3	-8.37965383
INHBE	-15.85828381
SEMA3A	-13.75025511
CALHM5	-15.81942892
ZFP30	14.09200956
KCNA1	-13.59691406
DYNC1I1	-17.09118735
PBXIP1	-22.22292682
TMEM200A	-12.82868514
TRANK1	-21.39462023
PTP4A3	-10.63918924
BCYRN1	6.712568825
LBH	-17.80888609
SMIM14	-14.15351258
MAFF	22.2052339
IL17RD	-12.97406938
CRYAB	-12.73251781
C1orf116	-11.12633013
GASK1B	-17.9856363
DRD1	-14.76170755
MMP3	12.04932653
IFI6	-12.92644327
JUP	-13.94403032
BTN3A2	-15.31483298
DDIT4	-14.27204201
NEB	13.62872144
ABCG1	-14.50833227
KLHL24	-20.25130818
FRMD6-AS2	16.53175444
EPHA4	-17.4672358
CD70	-17.81984824
NTN4	-16.17527484
CADM3-AS1	-16.25928706
MIR130AHG	10.84962198
ANG	-11.04763076
CADM3	-16.09697562
SOX6	-13.66579354
DNAJB1	18.27639513
SPMIP1	13.66399379
FRY	-11.66073556
ITIH5	-15.37149318
NAPRT	11.60502252
NR4A2	13.13108791
MAF	-16.60597629
CNTN4	-14.62669192
HMCN1	-16.50584515
ID4	12.86965733
VWA5B2	-11.11857252
PROS1	-10.19909605
RASSF4	-11.8981887
ETV1	-13.96237928
SLC17A5	-13.78838377
PCDHB11	-15.51818741
PLSCR4	-12.14777115
FXYD6-FXYD2	-9.345284188
SLC12A7	-9.410043933
DLGAP1-AS1	-11.53104985
MR1	-13.08408789
TTYH1	-9.636481088
ID1	20.61647026
LINC02474	-19.91164856
LPL	-9.23349193
CSRNP1	14.44329137
IER2	17.62978631
NUPR1	-10.32544216
SBK1	-16.936468
PLXDC2	-16.8014068
SLC22A18	-8.331151335
SLC6A12	-8.655852243
KLF2	13.28685851
PLXNA2	-13.25008779
