ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
9	"ENSG00000184343.11"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784021	153784120	153784213	9	2,6	0,0	2,3	0,1	150	75	1	1.0	1.0,1.0	1.0,0.6	0.2
10	"ENSG00000184343.11"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784024	153784120	153784213	10	2,6	0,1	2,3	0,0	150	75	1	1.0	1.0,0.75	1.0,1.0	-0.125
17	"ENSG00000102125.17"	"TAFAZZIN"	chrX	+	154420031	154420264	154420031	154420094	154420211	154420264	17	5,14	19,92	11,18	64,97	150	75	0.872887471136	1.0	0.116,0.071	0.079,0.085	0.011
18	"ENSG00000156531.18"	"PHF6"	chrX	+	134425200	134428768	134425200	134425330	134426161	134428768	18	23,124	0,9	230,197	16,8	150	75	0.825268127008	1.0	1.0,0.873	0.878,0.925	0.035
21	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099	21	123,452	1,0	664,603	0,0	150	75	1	1.0	0.984,1.0	1.0,1.0	-0.008
24	"ENSG00000225470.9"	"JPX"	chrX	+	73998953	74000496	73998953	73999051	73999185	74000496	24	16,47	0,0	67,60	4,4	150	75	0.00114035553402	0.0261859418923	1.0,1.0	0.893,0.882	0.113
25	"ENSG00000147099.21"	"HDAC8"	chrX	-	72329567	72330876	72329567	72330076	72330815	72330876	25	1,0	0,2	2,0	1,1	150	75	0.648015846978	1.0	1.0,0.0	0.5,0.0	0.25
26	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567581	72568030	72567581	72567796	72567888	72568030	26	1,1	3,9	7,4	3,4	150	75	0.000663929587689	0.0171515143486	0.143,0.053	0.538,0.333	-0.338
27	"ENSG00000184634.17"	"MED12"	chrX	+	71137725	71137943	71137725	71137780	71137855	71137943	27	7,51	1,3	46,61	4,1	150	75	0.902344064923	1.0	0.778,0.895	0.852,0.968	-0.073
28	"ENSG00000120509.12"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	28	1,3	0,7	4,6	32,21	150	75	0.699998332576	1.0	1.0,0.176	0.059,0.125	0.496
31	"ENSG00000049768.18"	"FOXP3"	chrX	-	49256750	49257012	49256750	49256855	49256924	49257012	31	0,1	0,1	0,0	0,5	144	75	1	1.0	NA,0.342	NA,0.0	0.342
32	"ENSG00000269313.6"	"MAGIX"	chrX	+	49164706	49165090	49164706	49164789	49164862	49165090	32	1,5	0,2	4,7	1,1	148	75	0.54329921062	1.0	1.0,0.559	0.67,0.78	0.054
33	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	33	13,28	6,23	56,49	28,37	150	75	0.747175354302	1.0	0.52,0.378	0.5,0.398	0.0
34	"ENSG00000215301.11"	"DDX3X"	chrX	+	41333347	41334297	41333347	41333699	41334125	41334297	34	8,25	0,0	60,49	0,5	150	75	0.0255649751679	0.273280769036	1.0,1.0	1.0,0.831	0.085
35	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41349886	41347311	41347451	41347639	41349886	35	2,11	89,436	13,18	576,665	150	75	0.830356885062	1.0	0.011,0.012	0.011,0.013	-0.001
36	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38288041	38287093	38287245	38287860	38288041	36	0,1	7,21	0,1	34,31	150	75	1	1.0	0.0,0.023	0.0,0.016	0.003
38	"ENSG00000005302.19"	"MSL3"	chrX	+	11759633	11759875	11759633	11759712	11759792	11759875	38	2,5	0,0	4,12	1,0	150	75	1	1.0	1.0,1.0	0.667,1.0	0.166
40	"ENSG00000025770.19"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	40	4,15	38,150	15,13	198,187	143	75	0.408894246544	1.0	0.052,0.05	0.038,0.035	0.014
44	"ENSG00000184208.12"	"C22orf46"	chr22	+	41693462	41698136	41693462	41693851	41693937	41698136	44	4,17	2,5	26,34	7,8	150	75	0.681381614965	1.0	0.5,0.63	0.65,0.68	-0.1
45	"ENSG00000128272.18"	"ATF4"	chr22	+	39521353	39521671	39521353	39521475	39521562	39521671	45	914,3263	32,101	3423,3434	79,81	150	75	0.0481795141964	0.387938945478	0.935,0.942	0.956,0.955	-0.017
47	"ENSG00000100350.16"	"FOXRED2"	chr22	-	36505895	36507040	36505895	36506423	36507008	36507040	47	23,61	1,0	89,82	2,4	150	75	0.0322130165673	0.303727654445	0.92,1.0	0.957,0.911	0.026
49	"ENSG00000185133.14"	"INPP5J"	chr22	+	31124844	31126010	31124844	31124906	31125832	31126010	49	0,12	0,1	8,25	0,0	150	75	1	1.0	NA,0.857	1.0,1.0	-0.143
50	"ENSG00000167065.14"	"DUSP18"	chr22	-	30661444	30664080	30661444	30663728	30663838	30664080	50	1,2	0,1	8,12	3,0	150	75	0.122763043876	0.650539206864	1.0,0.5	0.571,1.0	-0.035
51	"ENSG00000100276.10"	"RASL10A"	chr22	-	29312932	29313987	29312932	29313568	29313862	29313987	51	1,7	0,3	3,1	2,3	150	75	0.105948456095	0.620080010064	1.0,0.538	0.429,0.143	0.483
53	"ENSG00000100219.17"	"XBP1"	chr22	-	28796046	28796192	28796046	28796121	28796147	28796192	53	36,120	3,0	145,133	3,1	101	75	0.834296213357	1.0	0.899,1.0	0.973,0.99	-0.032
54	"ENSG00000235954.9"	"TTC28-AS1"	chr22	+	27997410	27998152	27997410	27997739	27997985	27998152	54	0,0	0,2	2,0	1,5	150	75	1	1.0	NA,0.0	0.5,0.0	-0.25
55	"ENSG00000235954.9"	"TTC28-AS1"	chr22	+	27997410	27998838	27997410	27998152	27998603	27998838	55	2,13	0,2	19,6	0,0	150	75	0.818921445421	1.0	1.0,0.765	1.0,1.0	-0.117
58	"ENSG00000100031.19"	"GGT1"	chr22	+	24628080	24628388	24628080	24628193	24628274	24628388	58	1,1	3,7	0,0	11,22	150	75	0.260513110771	0.8973229371	0.143,0.067	0.0,0.0	0.105
60	"ENSG00000185686.18"	"PRAME"	chr22	-	22556811	22557580	22556811	22556909	22557544	22557580	60	0,0	0,8	2,0	8,14	150	75	1	1.0	NA,0.0	0.111,0.0	-0.056
61	"ENSG00000185686.18"	"PRAME"	chr22	-	22556811	22557580	22556811	22556930	22557544	22557580	61	0,0	1,17	2,0	8,15	150	75	0.886195486264	1.0	0.0,0.0	0.111,0.0	-0.056
64	"ENSG00000183506.17"	"PI4KAP2"	chr22	-	21477996	21478694	21477996	21478161	21478584	21478694	64	0,0	0,3	1,1	0,0	150	75	1	1.0	NA,0.0	1.0,1.0	-1.0
66	"ENSG00000290425.1"	"PI4KAP1"	chr22	-	18548010	18548469	18548010	18548118	18548317	18548469	66	0,3	4,14	3,1	10,7	150	75	0.61485306894	1.0	0.0,0.097	0.13,0.067	-0.05
